company_name-discard,date_of_post,caption ,mention,hashtag,comments,shares,likes,status,views,post_type
Spotify News,"Dec 4, 2024","is all about celebrating the fans, artists, authors, podcasters, and creators who made 2024 the record-breaking, culture-making, fandom-shaking year it was. So, let’s get to it…",#SpotifyWrapped,,87,233,3000,https://x.com/SpotifyNews/status/1864340636092051817/analytics,228000,Memes
Spotify News,"Dec 4, 2024","is all about celebrating the fans, artists, authors, podcasters, and creators who made 2024 the record-breaking, culture-making, fandom-shaking year it was. So, let’s get to it…",#SpotifyWrapped,,87,233,3000,https://x.com/SpotifyNews/status/1864340636092051817/analytics,228000,Reels
Spotify,"Dec 4, 2024",Wrapped reveal: Show us your Top 5 songs.,,,16000,12000,85000,https://x.com/Spotify/status/1864311364145049731/analytics,10000000,Memes
Spotify,"Dec 4, 2024",In her Global Top Artist era. Congratulations Taylor Swift on over 26+ billion streams in 2024.,#SpotifyWrapped,,663,10000,38000,https://x.com/Spotify/status/1864294081486061993/analytics,2400000,Live Streams
Spotify,"Dec 3, 2024",Let us know which ones are your faves,,,242,239,1700,https://x.com/Spotify/status/1863719849433665654/analytics,854000,Memes
Spotify,"Dec 3, 2024",Let us know which ones are your faves,,,242,239,1700,https://x.com/Spotify/status/1863719849433665654/analytics,854000,Product Showcases
Spotify,"Dec 2, 2024",Game on.,#SpotifyWrapped,@FCBarcelona,706,1700,18000,https://x.com/Spotify/status/1863330588931055634/analytics,1200000,Infographics
Spotify,"Dec 2, 2024",Any guesses on your Top 5 songs of 2024?,#SpotifyWrapped,,6100,14000,71000,https://x.com/Spotify/status/1863312156411957500/analytics,9400000,Live Streams
Spotify,"Dec 1, 2024","MM..FOOD is a true hip-hop classic. With the album now 20 years old, we headed to BK to celebrate the re-release. Where were you when MM..FOOD first dropped?",,,513,665,5400,https://x.com/Spotify/status/1863236321801609630/analytics,1300000,Live Streams
Spotify USA,"Nov 29, 2024",Press play on,@ericdoa,,166,367,2600,https://x.com/SpotifyUSA/status/1862559096127328751/analytics,1200000,Videos
Spotify,"Nov 29, 2024",,,,34,27,268,https://x.com/Spotify/status/1862560293487841728/analytics,611000,Polls
Spotify,"Nov 28, 2024",Ariana Grande and,@theweeknd,#BillionsClub,276,2500,24000,https://x.com/Spotify/status/1861844718809747520/analytics,1400000,Infographics
Spotify,"Nov 27, 2024",Wrapped is coming... bets on your Top Artist?,,,22000,63000,243000,https://x.com/Spotify/status/1861787062615060778/analytics,23000000,Product Showcases
Spotify,"Nov 27, 2024",This year contained multitudes. So will your Wrapped. Coming Soon.,#SpotifyWrapped,,1100,9600,62000,https://x.com/Spotify/status/1861771972511961521/analytics,22000000,Live Streams
Spotify,"Nov 27, 2024",My go-to shower song is ____,,,819,412,2900,https://x.com/Spotify/status/1861500171630322166/analytics,795000,Infographics
Spotify,"Nov 27, 2024",Let us know which ones you can't get enough of,,,87,177,803,https://x.com/Spotify/status/1861485781744828559/analytics,420000,Memes
Spotify,"Nov 26, 2024",Black country artists are creating a new legacy.,@OurFrequency,,85,49,353,https://x.com/Spotify/status/1861444252149911859/analytics,307000,Memes
Spotify,"Nov 26, 2024",Press play on,@katyperry,#BillionsClub,62,549,3100,https://x.com/Spotify/status/1861441181764166089/analytics,300000,Static Images
Spotify,"Nov 26, 2024",Holding space for the lyrics of Defying Gravity,https://spotify.link/wicked,,75,624,5600,https://x.com/Spotify/status/1861146046824366404/analytics,341000,Polls
Spotify,"Nov 26, 2024",Walking On A Dream by,@EmpireOfTheSun,#BillionsClub,27,44,415,https://x.com/Spotify/status/1861144114919604400/analytics,214000,Product Showcases
Spotify,"Nov 25, 2024",From Detroit to global domination,,,143,723,4000,https://x.com/Spotify/status/1861047467933888748/analytics,347000,Reels
Spotify,"Nov 23, 2024",Singing during your Wicked screening...,,,49,28,269,https://x.com/Spotify/status/1860095961185554458/analytics,242000,Product Showcases
