company_name-discard,date_of_post,mention,comments,hashtag,comments,shares,likes,status,views,post_type
Myntra,"Jun 21, 2024",,24,#InternationalYogaDay2024,24,26,98,https://x.com/myntra/status/1804016018421092690/analytics,4300,Reels
Myntra,"Jun 20, 2024",,27,,27,2,24,https://x.com/myntra/status/1803686698381090893/analytics,4800,Carousel Posts
Myntra,"Jun 16, 2024",,57,,57,3,30,https://x.com/myntra/status/1802237010444198179/analytics,5700,Static Images
Myntra,"Jun 15, 2024",,44,,44,3,20,https://x.com/myntra/status/1801975412173464047/analytics,4700,Product Showcases
Myntra,"Jun 15, 2024",,45,,45,4,26,https://x.com/myntra/status/1801858097746436296/analytics,6200,Reels
Myntra,"Jun 14, 2024",@iamsrk,46,#TrendIRL,46,107,266,https://x.com/myntra/status/1801501547039207487/analytics,6000,Product Showcases
Myntra,"Jun 13, 2024",@iamsrk,46,#TrendInRealLife,46,83,237,https://x.com/myntra/status/1801297874489327789/analytics,8700,Polls
Myntra,"Jun 13, 2024",@iamsrk,47,#TrendInRealLife,47,305,677,https://x.com/myntra/status/1801161866304950514/analytics,13000,Carousel Posts
Myntra,"Jun 12, 2024",,33,#INDvsUSA,33,10,37,https://x.com/myntra/status/1800954433251180964/analytics,8300,Polls
Myntra,"Jun 12, 2024",,59,#TrendIRL,59,70,183,https://x.com/myntra/status/1800828502801072569/analytics,6300,Stories
Myntra,"Jun 11, 2024",,13,,13,3,9,https://x.com/myntra/status/1800560958731178324/analytics,2100,Reels
Myntra,"Jun 10, 2024",,27,#INDvsPAK,27,9,45,https://x.com/myntra/status/1799888615948095582/analytics,11000,Stories
Myntra,"Jun 10, 2024",,12,#INDvsPAK,12,6,25,https://x.com/myntra/status/1799884506964590810/analytics,4600,Polls
Myntra,"Jun 9, 2024",,13,#INDvsPAK,13,3,14,https://x.com/myntra/status/1799861357514510454/analytics,4300,Reels
Myntra,"Jun 9, 2024",,18,#INDvsPAK,18,4,22,https://x.com/myntra/status/1799821533256601782/analytics,4800,Reels
Myntra,"Jun 9, 2024",,27,#INDvsPAK,27,7,24,https://x.com/myntra/status/1799759223494230117/analytics,3400,Reels
Myntra,"Jun 8, 2024",,23,#MyntraEORS,23,8,35,https://x.com/myntra/status/1799490898017108299/analytics,4000,Reels
Myntra,"Jun 6, 2024",@chetrisunil11,30,,30,12,63,https://x.com/myntra/status/1798749913238622442/analytics,4500,Live Streams
Myntra,"Jun 5, 2024",,139,#MyntraEORS,139,34,118,https://x.com/myntra/status/1798287299685589049/analytics,16000,Memes
Myntra,"May 29, 2024",@Hetal_17,41,#MyntraEORSEarlyAccess,41,14,44,https://x.com/myntra/status/1795822621059322039/analytics,5000,Memes
Myntra,"May 29, 2024",,33,#MyntraEORSEarlyAccess,33,10,29,https://x.com/myntra/status/1795822154954723357/analytics,3700,Polls
Myntra,"May 29, 2024",,21,#MyntraEORSEarlyAccess,21,11,25,https://x.com/myntra/status/1795821036560404517/analytics,3200,Infographics
Myntra,"May 29, 2024",,76,#MyntraEORSEarlyAccess,76,25,59,https://x.com/myntra/status/1795811595257540673/analytics,3700,Polls
Myntra,"May 29, 2024",@avasahu,14,#MyntraEORSEarlyAccess,14,10,38,https://x.com/myntra/status/1795811155916505346/analytics,3100,Live Streams
Myntra,"May 29, 2024",,81,#MyntraEORSEarlyAccess,81,30,53,https://x.com/myntra/status/1795807871176749273/analytics,2700,Static Images
Myntra,"May 29, 2024",,141,#MyntraEORSEarlyAccess,141,51,91,https://x.com/myntra/status/1795805435712115123/analytics,4100,Product Showcases
Myntra,"May 29, 2024",,36,#MyntraEORSEarlyAccess,36,46,92,https://x.com/myntra/status/1795785339006554185/analytics,3400,Polls
Myntra,"May 29, 2024",,114,#MyntraEORS,114,127,245,https://x.com/myntra/status/1795751395918017012/analytics,9800,Memes
Myntra,"May 26, 2024",,14,#KKRvsSRH,14,82,242,https://x.com/myntra/status/1794776424257319096/analytics,6700,Live Streams
Myntra,"May 26, 2024",,11,#MyntraEORS,11,9,40,https://x.com/myntra/status/1794775061880275011/analytics,3400,Reels
Myntra,"May 26, 2024",,12,#KKRvsSRH,12,15,49,https://x.com/myntra/status/1794772508329275739/analytics,3100,Reels
Myntra,"May 26, 2024",,16,#KKRvsSRH,16,111,421,https://x.com/myntra/status/1794750370956374183/analytics,7200,Product Showcases
Myntra,"May 25, 2024",,15,#loksabhaelections24,15,9,34,https://x.com/myntra/status/1794233386405621882/analytics,3400,Static Images
Myntra,"May 24, 2024",,16,,16,6,35,https://x.com/myntra/status/1794022905208357279/analytics,2700,Polls
Myntra,"May 23, 2024",@iamsrk,135,#MyntraEndOfReasonSale,135,249,612,https://x.com/myntra/status/1793533150892855455/analytics,34000,Reels
Myntra,"May 19, 2024",,31,#RCBvsCSK,31,7,61,https://x.com/myntra/status/1791902725363355894/analytics,5000,Videos
Myntra,"May 12, 2024",,38,,38,5,21,https://x.com/myntra/status/1789537313795780992/analytics,4800,Polls
Myntra,"May 12, 2024",,38,,38,5,21,https://x.com/myntra/status/1789537313795780992/analytics,4800,Stories
Myntra,"May 11, 2024",,40,,40,5,22,https://x.com/myntra/status/1789282486750441634/analytics,8100,Stories
Myntra,"May 10, 2024",,42,,42,9,28,https://x.com/myntra/status/1788876450650849757/analytics,18000,Static Images
Myntra,"May 10, 2024",,20,#RCBvPBKS,20,3,23,https://x.com/myntra/status/1788650697233400048/analytics,4800,Stories
Myntra,"May 9, 2024",,34,,34,3,15,https://x.com/myntra/status/1788479607198613778/analytics,3800,Infographics
Myntra,"May 7, 2024",@aliaa08,32,#MetGala,32,16,136,https://x.com/myntra/status/1787709133623554213/analytics,4700,Live Streams
Myntra,"May 7, 2024",,25,#MetGala,25,7,27,https://x.com/myntra/status/1787690498360312101/analytics,8800,Carousel Posts
Myntra,"May 6, 2024",,17,,17,2,20,https://x.com/myntra/status/1787381415119839652/analytics,2800,Product Showcases
Myntra,"May 4, 2024",,19,,19,2,25,https://x.com/myntra/status/1786700991305581026/analytics,6000,Carousel Posts
Myntra,"May 3, 2024",,12,,12,5,16,https://x.com/myntra/status/1786284416253489568/analytics,3900,Live Streams
Myntra,"May 1, 2024",,34,#MyntraTrendIRL,34,3,17,https://x.com/myntra/status/1785659384229691826/analytics,3200,Static Images
Myntra,"Apr 30, 2024",,19,,19,1,12,https://x.com/myntra/status/1785239680704999590/analytics,3300,Infographics
Myntra,"Apr 29, 2024",,17,,17,5,17,https://x.com/myntra/status/1784926472534478877/analytics,4000,Reels
Myntra,"Apr 28, 2024",,12,#CSKvsSRH,12,6,34,https://x.com/myntra/status/1784649958811119841/analytics,5100,Carousel Posts
Myntra,"Apr 27, 2024",,21,,21,1,21,https://x.com/myntra/status/1784089376517193937/analytics,4800,Product Showcases
Myntra,"Apr 26, 2024",,30,#RCBvsSRH,30,2,28,https://x.com/myntra/status/1783564275082227997/analytics,4800,Product Showcases
Myntra,"Apr 25, 2024",,10,,10,3,15,https://x.com/myntra/status/1783500665198887040/analytics,4200,Polls
Myntra,"Apr 24, 2024",,13,#HarPocketAbDustbin,13,3,11,https://x.com/myntra/status/1783124636974321997/analytics,4000,Videos
Myntra,"Apr 24, 2024",,13,,13,1,11,https://x.com/myntra/status/1783081968957346034/analytics,3000,Live Streams
Myntra,"Apr 24, 2024",,17,#LSGvsCSK,17,5,53,https://x.com/myntra/status/1782842459967615315/analytics,6300,Videos
Myntra,"Apr 23, 2024",,6,,6,1,13,https://x.com/myntra/status/1782796454333161982/analytics,3300,Reels
Myntra,"Apr 23, 2024",,17,,17,3,31,https://x.com/myntra/status/1782690986268955012/analytics,5100,Reels
Myntra,"Apr 22, 2024",,10,,10,2,9,https://x.com/myntra/status/1782365330809197007/analytics,2600,Polls
Myntra,"Apr 19, 2024",,21,#ElectionDay,21,4,23,https://x.com/myntra/status/1781218238732611697/analytics,3200,Infographics
Myntra,"Apr 18, 2024",,29,,29,6,26,https://x.com/myntra/status/1780884862414856265/analytics,7100,Stories
