company_name-discard,caption,hashtag,status,comments,shares,likes,post_type
H&M,Actor,#SimoneRochaxHM,https://x.com/hm/status/1369679350530998274/photo/1,26,14,99,Product Showcases
H&M,Leave cottagecore in 2020 — it's time for regencycore.,#SimoneRochaxHM,https://x.com/hm/status/1369558621038739456/photo/1,22,22,116,Infographics
H&M,Actor,#SimoneRochaxHM,https://x.com/hm/status/1369679350530998274/photo/1,26,14,99,Memes
H&M,Leave cottagecore in 2020 — it's time for regencycore.,#SimoneRochaxHM,https://x.com/hm/status/1369558621038739456/photo/1,22,22,116,Carousel Posts
H&M,The storybook world of,#SimoneRochaxHM,https://x.com/hm/status/1369368220973625352/photo/1,19,22,102,Reels
H&M,"""Helena Bonham-Carter is preening in a mirror, twirling across my kitchen table. Francesca Hayward is teetering on her pointe shoes, spinning in a pastel pink bubble dress.""",#SimoneRochaxHM,https://t.co/7IVPD1G8eh,12,12,68,Reels
H&M,"""This is no re-edition. It's taking beloved looks and reinterpreting them for today."" — Simone Rocha",#SimoneRochaxHM,,21,24,96,Reels
H&M,Bespoke fabrics designed in-house are part of Simone Rocha's DNA. All of the dreamy fabrics in the collection were specially developed for the collab.,#SimoneRochaxHM,https://x.com/hm/status/1368471398797238272/photo/1,10,10,75,Infographics
H&M,"Of wild florals, of portraits and photographs, of subversive femininity — Simone Rocha X H&M launches 11 March.",#tessmcmillan,https://x.com/hm/status/1367127632291237895/photo/1,11,20,100,Product Showcases
H&M,"is a celebration of the silhouettes, fabrications, embellishments and influences that have defined Simone Rocha's world. The collection launches 11 March.",#SimoneRochaxHM,,10,21,93,Live Streams
H&M,"""Every piece in the collection is designed to be in conversation with each other; one unit, one identity."" — Simone Rocha",#SimoneRochaxHM,https://x.com/hm/status/1366402874767466496/photo/1,13,39,143,Videos
H&M,Archive details reimagined.,#SimoneRochaxHM,,16,56,143,Static Images
H&M,.,,https://t.co/eAOWzK1mZ3,19,6,58,Infographics
H&M,#ootd,,https://x.com/ThaliaMLeBlanc/status/1364003052437446665/photo/1,13,7,79,Reels
H&M,Yasuo appreciation post. Get battle-ready with the new LoL merch.*,#HMMan,https://x.com/hm/status/1364137916180688896/photo/1,12,20,116,Memes
H&M,Couldn't you see Harry Styles in this look?,#HMStudio,https://x.com/hm/status/1362718575614717954/photo/1,21,6,81,Stories
H&M,"Meet Julia Sarr-Jamois, one of our fave stylists! We asked her to style her favourite",#HMStudio,,8,8,65,Reels
H&M,Who’s your favourite champion? Click on for full collection.,#HMMan,https://x.com/hm/status/1362401487457030146/photo/1,7,6,67,Static Images
H&M,Your gaming look: upleveled. The epic LoL prints are out.*,#HMMan,https://x.com/hm/status/1361676670818799616/photo/1,12,18,111,Infographics
H&M,Archival,#HMStudio,https://x.com/hm/status/1359879806658228225/photo/1,17,14,79,Memes
H&M,Game on. New League of Legends merch just dropped.,#HMMan,https://x.com/hm/status/1359819470689210371/photo/1,21,44,100,Product Showcases
H&M,"It's here (in selected markets). Lee x H&M — a more sustainable denim collection, designed and crafted with the future in mind.",https://hm.info/60154z9L9,https://x.com/hm/status/1354723452805120000/analytics,33,24,109,Stories
H&M,,,https://x.com/hm/status/1354723458870075394/photo/1,6,14,70,Memes
H&M,Introducing our first ever 100% recycled cotton jeans.,#LEExHM,https://x.com/hm/status/1354443985276854277/photo/1,15,28,172,Carousel Posts
H&M,Made from 50% Texloop™ RCOT™ recycled cotton. The sewing threads? Recycled polyester from plastic waste. The print? Water-based ink.,#LEExHM,,10,17,87,Static Images
H&M,Zinnia Kumar joined the conversation and had a little chat with our CEO about the future of fast fashion. Watch all the conversations here:,#LEExHM,,10,18,87,Stories
H&M,This isn't just another collab. It's where conversations about sustainability & transparency are lifted into focus.,http://hm.com,https://x.com/hm/status/1352662425204641799/analytics,7,14,75,Infographics
H&M,,,https://x.com/hm/status/1352662431139586049/photo/1,1,8,56,Static Images
H&M,"Our next designer collaboration,",#SimoneRochaxHM,https://x.com/hm/status/1350125531103113217/photo/1,13,12,59,Static Images
H&M,How do sisters,#kesewaaboah,,4,17,56,Videos
H&M,From 'Normal People' to,#SimoneRochaxHM,,5,23,93,Product Showcases
H&M,We're so happy to reveal the star of our next designer collaboration:,https://hm.info/60124zZXm,,6,64,177,Stories
H&M,"Tomorrow, we will announce our next designer collaboration! Got a guess?",#HM,,18,26,188,Polls
H&M,Would you wear trash? Conscious Exclusive A/W20 is made from waste. The collection is out now!,#HMConsciousExclusive,,93,29,131,Product Showcases
H&M,"Meet ecologist, activist and H&M Conscious Exclusive A/W20 model Zinnia Kumar.",#HMConsciousExclusive,https://x.com/hm/status/1333440663438942209/photo/1,21,23,117,Videos
H&M,Conscious Exclusive A/W20 was inspired by the creativity that emerges from appreciating the value of the things around us.,#HMConsciousExclusive,,9,7,44,Memes
H&M,Conscious Exclusive is an incubator for innovative materials that are eventually used in H&M's main collection. The A/W20 collection launches from December 1.,#HMConsciousExclusive,,4,11,64,Memes
H&M,Every piece in the Conscious Exclusive A/W20 collection is made from waste. Read more at H&M magazine.,#HMConsciousExclusive,https://x.com/hm/status/1333048077054316550/photo/1,11,11,114,Reels
H&M,Creative forms of recycling and reuse take us one step closer to a circular fashion future. H&M Conscious Exclusive A/W20 launches from 1 December.,#HMConsciousExclusive,,3,12,71,Videos
